Lead_I,Lead_II
0.051,0.112
0.035,0.093
0.032,0.083
0.041,0.085
0.037,0.087
0.042,0.09
0.038,0.092
0.025,0.102
0.023,0.097
0.022,0.087
0.022,0.081
0.021,0.071
0.027,0.071
0.03,0.068
0.042,0.075
0.056,0.086
0.054,0.08
0.056,0.075
0.031,0.072
0.013,0.065
0.015,0.068
0.015,0.07
0.02,0.07
0.029,0.07
0.028,0.07
0.007,0.086
0.003,0.084
0.002,0.071
0.011,0.063
0.03,0.052
0.025,0.042
0.015,0.025
0.008,0.009
0.009,-0.001
0.017,-0.006
0.019,-0.011
0.027,-0.018
0.034,-0.022
0.026,-0.028
0.027,-0.03
0.03,-0.03
0.02,-0.041
0.002,-0.054
-0.008,-0.058
-0.005,-0.047
-0.001,-0.038
0.001,-0.028
0.006,-0.02
0.013,-0.036
0.016,-0.039
0.017,-0.019
0.012,-0.01
0.002,-0.007
0.011,0.026
0.017,0.066
0.008,0.079
0.018,0.103
0.017,0.121
0.007,0.134
0.024,0.168
0.024,0.174
0.019,0.168
0.034,0.184
0.062,0.211
0.081,0.232
0.075,0.233
0.129,0.289
0.153,0.322
0.121,0.273
0.112,0.251
0.07,0.198
0.038,0.162
0.035,0.147
0.033,0.141
0.035,0.136
0.029,0.115
0.035,0.128
0.027,0.085
0.04,0.129
0.177,0.231
0.571,1.037
0.664,1.529
0.063,0.565
-0.158,0.168
0.032,0.304
0.021,0.24
0.025,0.268
0.03,0.231
0.037,0.247
0.035,0.236
0.026,0.232
0.053,0.257
0.056,0.285
0.061,0.306
0.071,0.334
0.072,0.349
0.089,0.361
0.108,0.385
0.121,0.384
0.147,0.385
0.168,0.402
0.194,0.437
0.237,0.453
0.258,0.461
0.283,0.488
0.349,0.559
0.405,0.634
0.416,0.651
0.434,0.656
0.432,0.666
0.362,0.618
0.292,0.557
0.217,0.496
0.141,0.408
0.082,0.333
0.024,0.266
-0.009,0.213
-0.039,0.164
-0.057,0.129
-0.055,0.121
-0.046,0.115
-0.036,0.111
-0.042,0.086
-0.06,0.05
-0.055,0.026
-0.042,0.015
-0.056,0.01
-0.05,0.007
-0.044,0.0
-0.061,-0.014
-0.055,-0.025
-0.05,-0.057
-0.062,-0.073
-0.061,-0.069
-0.024,-0.07
-0.019,-0.083
-0.04,-0.101
-0.049,-0.116
-0.086,-0.141
-0.088,-0.147
-0.061,-0.142
-0.073,-0.123
-0.087,-0.113
-0.06,-0.119
-0.055,-0.123
-0.057,-0.124
-0.065,-0.139
-0.083,-0.171
-0.068,-0.174
-0.066,-0.177
-0.078,-0.184
-0.087,-0.192
-0.094,-0.214
-0.09,-0.215
-0.099,-0.215
-0.101,-0.215
-0.106,-0.214
-0.112,-0.215
-0.073,-0.206
-0.076,-0.225
-0.081,-0.245
-0.061,-0.238
-0.067,-0.242
-0.057,-0.237
-0.067,-0.249
-0.072,-0.27
-0.069,-0.27
-0.071,-0.27
-0.067,-0.268
-0.082,-0.281
-0.09,-0.29
-0.103,-0.284
-0.088,-0.279
-0.06,-0.277
-0.055,-0.269
-0.065,-0.276
-0.089,-0.297
-0.081,-0.286
-0.078,-0.278
-0.079,-0.276
-0.08,-0.272
-0.079,-0.269
-0.079,-0.264
-0.088,-0.269
-0.09,-0.27
-0.115,-0.274
-0.095,-0.277
-0.073,-0.305
-0.098,-0.34
-0.102,-0.336
-0.092,-0.331
-0.082,-0.328
-0.083,-0.322
-0.082,-0.319
-0.079,-0.312
-0.078,-0.307
-0.06,-0.298
-0.041,-0.293
-0.034,-0.282
-0.028,-0.264
-0.006,-0.237
0.011,-0.218
0.009,-0.221
0.01,-0.22
-0.01,-0.255
-0.04,-0.277
-0.057,-0.271
-0.045,-0.297
-0.049,-0.272
-0.088,-0.277
-0.108,-0.254
-0.112,-0.256
-0.073,-0.255
-0.04,-0.225
0.169,0.102
0.504,1.021
0.17,0.716
-0.349,-0.233
-0.227,-0.188
-0.079,-0.14
-0.08,-0.127
-0.07,-0.117
-0.064,-0.119
-0.046,-0.074
-0.06,-0.088
-0.054,-0.059
-0.045,-0.059
-0.033,-0.04
-0.033,-0.045
-0.038,-0.048
-0.045,-0.05
-0.02,-0.054
0.03,-0.06
0.053,-0.069
0.076,-0.057
0.108,-0.049
0.139,-0.033
0.184,0.003
0.22,0.042
0.242,0.076
0.3,0.14
0.33,0.18
0.325,0.181
0.33,0.196
0.321,0.193
0.295,0.178
0.216,0.111
0.128,0.027
0.042,-0.025
-0.031,-0.083
-0.064,-0.122
-0.102,-0.153
-0.103,-0.19
-0.085,-0.207
-0.096,-0.215
-0.107,-0.227
-0.107,-0.227
-0.102,-0.221
-0.094,-0.216
-0.086,-0.21
-0.073,-0.205
-0.078,-0.189
-0.094,-0.165
-0.088,-0.142
-0.084,-0.134
-0.1,-0.136
-0.112,-0.135
-0.106,-0.135
-0.112,-0.135
-0.118,-0.133
-0.115,-0.125
-0.135,-0.109
-0.143,-0.089
-0.15,-0.094
-0.154,-0.095
-0.134,-0.072
-0.138,-0.068
-0.142,-0.071
-0.139,-0.069
-0.147,-0.07
-0.143,-0.07
-0.149,-0.065
-0.169,-0.056
-0.158,-0.042
-0.157,-0.043
-0.148,-0.032
-0.123,-0.008
-0.124,-0.01
-0.12,-0.01
-0.118,-0.01
-0.114,-0.009
-0.113,-0.011
-0.098,0.001
-0.097,0.003
-0.133,-0.034
-0.137,-0.036
-0.117,-0.018
-0.11,-0.008
-0.118,0.001
-0.105,0.009
-0.099,0.009
-0.111,0.016
-0.117,0.037
-0.138,0.041
-0.15,0.032
-0.139,0.031
-0.121,0.01
-0.125,-0.06
-0.124,-0.093
-0.122,-0.085
-0.116,-0.083
-0.116,-0.08
-0.141,-0.08
-0.136,-0.08
-0.105,-0.084
-0.091,-0.068
-0.127,-0.059
-0.151,-0.06
-0.122,-0.06
-0.113,-0.059
-0.117,-0.062
-0.11,-0.052
-0.091,-0.016
-0.072,-0.008
-0.075,-0.027
-0.053,-0.033
-0.005,-0.021
-0.003,-0.055
-0.018,-0.081
-0.035,-0.1
-0.071,-0.148
-0.101,-0.158
-0.107,-0.199
-0.094,-0.203
-0.13,-0.25
-0.146,-0.252
-0.14,-0.253
-0.124,-0.286
-0.07,-0.262
0.147,-0.059
0.563,0.87
0.353,0.774
-0.224,-0.229
-0.217,-0.268
-0.086,-0.25
-0.079,-0.281
-0.085,-0.276
-0.085,-0.316
-0.062,-0.288
-0.087,-0.346
-0.066,-0.347
-0.043,-0.353
-0.044,-0.346
-0.039,-0.345
-0.032,-0.335
-0.008,-0.305
0.003,-0.293
0.01,-0.28
0.021,-0.267
0.035,-0.25
0.071,-0.233
0.102,-0.209
0.137,-0.181
0.184,-0.146
0.22,-0.103
0.267,-0.048
0.298,-0.008
0.323,0.023
0.334,0.045
0.31,0.042
0.271,0.008
0.219,-0.049
0.147,-0.122
0.053,-0.22
-0.012,-0.287
-0.065,-0.343
-0.072,-0.38
-0.078,-0.393
-0.097,-0.414
-0.082,-0.409
-0.109,-0.409
-0.104,-0.406
-0.087,-0.403
-0.102,-0.407
-0.106,-0.409
-0.102,-0.41
-0.102,-0.412
-0.101,-0.416
-0.097,-0.414
-0.098,-0.419
-0.093,-0.419
-0.107,-0.413
-0.11,-0.398
-0.078,-0.368
-0.074,-0.368
-0.103,-0.398
-0.104,-0.404
-0.099,-0.398
-0.105,-0.408
-0.093,-0.416
-0.098,-0.414
-0.102,-0.409
-0.114,-0.412
-0.121,-0.395
-0.119,-0.357
-0.125,-0.331
-0.111,-0.315
-0.1,-0.307
-0.089,-0.301
-0.098,-0.293
-0.11,-0.267
-0.116,-0.245
-0.128,-0.239
-0.125,-0.232
-0.119,-0.225
-0.121,-0.221
-0.124,-0.225
-0.106,-0.225
-0.106,-0.224
-0.103,-0.229
-0.102,-0.235
-0.105,-0.251
-0.087,-0.253
-0.085,-0.242
-0.081,-0.233
-0.077,-0.223
-0.076,-0.216
-0.085,-0.209
-0.1,-0.202
-0.1,-0.196
-0.101,-0.19
-0.098,-0.181
-0.092,-0.168
-0.088,-0.158
-0.092,-0.154
-0.098,-0.156
-0.098,-0.151
-0.1,-0.15
-0.103,-0.149
-0.102,-0.144
-0.088,-0.129
-0.086,-0.1
-0.08,-0.066
-0.065,-0.025
-0.047,0.004
-0.01,0.049
0.013,0.081
-0.008,0.038
-0.04,0.012
-0.052,-0.002
-0.064,-0.015
-0.094,-0.016
-0.107,-0.038
-0.091,-0.028
-0.099,-0.06
-0.089,-0.03
-0.094,-0.072
-0.097,-0.075
-0.018,-0.04
0.286,0.439
0.543,1.225
0.053,0.525
-0.348,-0.226
-0.143,-0.061
-0.07,-0.119
-0.071,-0.111
-0.067,-0.142
-0.053,-0.155
-0.029,-0.132
-0.042,-0.132
-0.02,-0.087
-0.01,-0.075
-0.005,-0.056
-0.005,-0.052
-0.001,-0.038
0.018,-0.012
0.032,0.009
0.043,0.027
0.077,0.068
0.105,0.123
0.115,0.154
0.143,0.183
0.171,0.215
0.201,0.247
0.251,0.301
0.314,0.363
0.352,0.396
0.345,0.386
0.339,0.376
0.336,0.37
0.283,0.313
0.187,0.213
0.1,0.12
0.03,0.043
-0.026,-0.021
-0.073,-0.074
-0.073,-0.099
-0.07,-0.104
-0.083,-0.096
-0.092,-0.084
-0.108,-0.076
-0.096,-0.067
-0.073,-0.058
-0.099,-0.051
-0.134,-0.048
-0.127,-0.043
-0.11,-0.031
-0.093,-0.015
-0.087,-0.016
-0.098,-0.028
-0.092,-0.005
-0.083,0.03
-0.09,0.036
-0.092,0.031
-0.09,0.03
-0.092,0.026
-0.088,0.024
-0.093,0.039
-0.108,0.063
-0.099,0.071
-0.09,0.069
-0.09,0.066
-0.076,0.063
-0.092,0.082
-0.103,0.098
-0.109,0.095
-0.118,0.095
-0.107,0.095
-0.104,0.095
-0.106,0.095
-0.113,0.098
-0.108,0.103
-0.102,0.1
-0.096,0.099
-0.072,0.116
-0.087,0.091
-0.117,0.072
-0.105,0.091
-0.106,0.083
-0.105,0.085
-0.081,0.098
-0.104,0.094
-0.085,0.092
-0.057,0.089
-0.075,0.086
-0.08,0.085
-0.091,0.089
-0.082,0.09
-0.077,0.089
-0.072,0.091
-0.066,0.086
-0.084,0.086
-0.099,0.08
-0.091,0.081
-0.07,0.097
-0.058,0.103
-0.046,0.108
-0.057,0.109
-0.05,0.128
-0.04,0.125
-0.028,0.131
0.024,0.174
0.03,0.174
0.015,0.153
0.028,0.121
0.014,0.084
-0.02,0.059
-0.043,0.059
-0.062,0.041
-0.055,0.054
-0.058,0.03
-0.055,0.045
-0.073,0.017
-0.072,-0.011
0.016,0.052
0.247,0.339
0.637,1.283
0.353,1.045
-0.206,0.045
-0.116,0.059
-0.037,0.053
-0.041,0.039
-0.014,0.064
-0.03,0.035
-0.012,0.058
-0.017,0.026
0.03,0.038
0.045,0.02
0.031,0.017
0.07,0.032
0.101,0.065
0.067,0.054
0.075,0.064
0.113,0.137
0.109,0.169
0.143,0.171
0.164,0.182
0.175,0.206
0.237,0.217
0.274,0.207
0.317,0.205
0.394,0.235
0.428,0.267
0.427,0.277
0.42,0.26
0.407,0.231
0.364,0.19
0.304,0.111
0.22,0.018
0.136,-0.063
0.092,-0.109
0.049,-0.15
0.007,-0.193
-0.009,-0.203
-0.007,-0.211
-0.02,-0.231
-0.028,-0.236
-0.035,-0.237
-0.024,-0.243
-0.022,-0.254
-0.029,-0.253
0.003,-0.244
0.012,-0.245
0.02,-0.234
0.011,-0.243
0.014,-0.259
0.027,-0.264
0.005,-0.283
0.008,-0.29
-0.025,-0.305
-0.034,-0.316
-0.015,-0.324
-0.03,-0.338
-0.037,-0.339
-0.044,-0.345
-0.021,-0.349
-0.013,-0.349
-0.016,-0.344
-0.01,-0.338
-0.014,-0.335
-0.008,-0.329
-0.003,-0.326
0.004,-0.323
-0.015,-0.334
-0.008,-0.34
0.003,-0.332
-0.013,-0.33
-0.018,-0.324
-0.026,-0.322
-0.004,-0.307
-0.009,-0.28
-0.034,-0.28
-0.034,-0.286
-0.048,-0.288
-0.033,-0.291
-0.023,-0.288
-0.027,-0.291
-0.017,-0.307
-0.025,-0.312
-0.047,-0.308
-0.055,-0.311
-0.024,-0.309
-0.016,-0.313
-0.023,-0.334
-0.022,-0.339
-0.027,-0.331
-0.028,-0.327
-0.03,-0.321
-0.022,-0.317
-0.014,-0.311
-0.008,-0.308
-0.008,-0.303
-0.024,-0.288
-0.029,-0.274
-0.031,-0.266
-0.036,-0.254
-0.025,-0.225
-0.036,-0.193
-0.032,-0.172
0.0,-0.16
-0.002,-0.15
-0.007,-0.141
-0.012,-0.123
-0.037,-0.093
-0.05,-0.079
-0.044,-0.072
-0.036,-0.063
-0.033,-0.049
-0.032,-0.017
-0.042,0.001
-0.019,0.033
0.006,0.076
0.004,0.101
0.06,0.153
0.071,0.153
0.034,0.102
0.042,0.078
0.031,0.026
-0.002,0.018
-0.038,-0.004
-0.017,0.005
-0.051,0.005
-0.054,0.006
-0.035,0.051
-0.045,-0.019
0.004,0.029
0.044,0.034
0.507,0.792
0.554,1.32
0.316,0.773
0.121,0.398
-0.326,0.057
-0.348,-0.056
