Lead_I,Lead_II
0.106,0.178
0.111,0.24
0.134,0.289
0.197,0.32
0.204,0.345
0.181,0.346
0.179,0.316
0.141,0.273
0.09,0.202
0.036,0.121
0.005,0.066
-0.029,0.02
-0.065,-0.016
-0.081,-0.044
-0.087,-0.068
-0.084,-0.07
-0.094,-0.072
-0.101,-0.085
-0.108,-0.083
-0.092,-0.079
-0.098,-0.076
-0.088,-0.071
-0.058,-0.069
-0.077,-0.065
-0.049,-0.063
-0.047,-0.06
-0.05,-0.057
-0.058,-0.054
-0.048,-0.062
-0.001,-0.072
-0.019,-0.073
-0.017,-0.08
-0.025,-0.083
-0.018,-0.078
-0.023,-0.075
-0.066,-0.069
-0.045,-0.084
-0.018,-0.09
-0.026,-0.08
-0.033,-0.069
-0.037,-0.044
-0.044,-0.011
-0.027,0.034
-0.019,0.036
0.014,0.014
0.048,0.014
0.019,-0.03
-0.001,-0.071
-0.039,-0.098
-0.041,-0.113
-0.062,-0.106
-0.035,-0.126
-0.083,-0.135
-0.133,-0.126
0.403,0.471
0.83,1.515
0.548,1.525
0.011,0.576
-0.187,0.059
-0.052,0.027
-0.049,-0.044
-0.057,-0.072
-0.021,-0.067
0.012,-0.062
0.009,-0.053
-0.008,-0.046
0.007,-0.035
-0.001,-0.018
0.04,0.012
0.049,0.033
0.022,0.051
0.063,0.07
0.113,0.1
0.113,0.132
0.109,0.173
0.173,0.224
0.227,0.267
0.234,0.318
0.246,0.36
0.263,0.37
0.261,0.356
0.228,0.297
0.162,0.223
0.122,0.154
0.105,0.081
0.025,0.02
0.011,-0.03
0.025,-0.055
-0.006,-0.061
0.011,-0.064
-0.007,-0.072
-0.02,-0.077
-0.008,-0.074
0.004,-0.075
-0.008,-0.075
-0.031,-0.075
-0.013,-0.075
-0.02,-0.075
-0.013,-0.075
0.007,-0.075
-0.007,-0.075
-0.005,-0.075
0.002,-0.079
-0.013,-0.08
-0.003,-0.081
0.008,-0.078
0.008,-0.086
0.007,-0.103
0.005,-0.102
0.022,-0.099
0.017,-0.097
-0.011,-0.094
-0.008,-0.091
0.013,-0.09
-0.014,-0.091
-0.021,-0.091
-0.003,-0.087
0.003,-0.077
0.007,-0.071
-0.009,-0.061
0.003,-0.057
0.016,-0.053
0.019,-0.049
0.041,-0.048
0.07,-0.044
0.051,-0.08
0.004,-0.117
-0.004,-0.138
0.005,-0.126
-0.005,-0.143
-0.011,-0.149
-0.108,-0.153
0.102,0.024
0.707,0.956
0.826,1.706
0.343,1.101
-0.107,0.192
-0.094,-0.012
0.016,-0.05
-0.007,-0.11
0.019,-0.083
0.013,-0.092
0.019,-0.078
0.023,-0.075
0.021,-0.071
0.035,-0.057
0.049,-0.039
0.065,-0.021
0.065,-0.015
0.079,0.003
0.11,0.039
0.134,0.068
0.156,0.094
0.172,0.13
0.204,0.178
0.254,0.24
0.281,0.278
0.3,0.301
0.305,0.309
0.286,0.293
0.252,0.263
0.203,0.191
0.146,0.104
0.101,0.038
0.061,-0.02
0.029,-0.071
0.013,-0.103
0.01,-0.108
0.007,-0.111
0.01,-0.119
0.01,-0.119
-0.009,-0.123
-0.01,-0.125
-0.012,-0.126
-0.016,-0.135
-0.013,-0.144
-0.024,-0.145
-0.023,-0.145
0.0,-0.145
0.003,-0.145
-0.004,-0.145
-0.009,-0.145
-0.015,-0.145
-0.021,-0.145
-0.022,-0.145
-0.007,-0.145
0.0,-0.141
-0.001,-0.14
-0.004,-0.14
-0.001,-0.135
-0.001,-0.135
-0.006,-0.136
-0.012,-0.14
-0.027,-0.152
-0.035,-0.156
-0.035,-0.154
-0.035,-0.152
-0.036,-0.149
-0.019,-0.15
-0.01,-0.146
-0.005,-0.142
0.018,-0.139
0.008,-0.133
0.0,-0.132
-0.011,-0.123
-0.005,-0.104
0.042,-0.061
0.046,-0.027
0.032,-0.069
0.057,-0.078
0.075,-0.077
0.039,-0.126
0.0,-0.146
-0.003,-0.165
-0.017,-0.155
-0.018,-0.165
-0.001,-0.169
-0.128,-0.183
0.112,0.04
0.772,1.022
0.881,1.739
0.362,1.038
-0.072,0.13
-0.047,-0.002
0.034,-0.031
0.016,-0.085
0.036,-0.064
0.03,-0.07
0.042,-0.054
0.041,-0.053
0.052,-0.044
0.06,-0.039
0.054,-0.027
0.085,-0.018
0.09,-0.004
0.097,0.024
0.125,0.053
0.141,0.085
0.165,0.12
0.182,0.154
0.221,0.177
0.241,0.237
0.249,0.269
0.259,0.264
0.28,0.261
0.306,0.262
0.283,0.246
0.232,0.171
0.168,0.093
0.126,0.026
0.077,-0.038
0.042,-0.082
0.029,-0.109
0.03,-0.129
0.031,-0.134
-0.005,-0.129
-0.007,-0.131
0.014,-0.127
0.005,-0.124
-0.002,-0.126
0.007,-0.12
-0.011,-0.113
-0.006,-0.105
0.02,-0.103
